# r7 e2e overlap session 2026-09-22T04:08:00Z
# post_freeze: true (2026-09-02 freeze; R7 = pre-declared W8 addendum, #73 comment)
# governor: performance (cpupower binary not installed on this box; scaling_governor sysfs already read 'performance' on all pinned cores, no change made)
# persistence: Enabled (already Enabled pre-session; sudo nvidia-smi -pm 1 re-confirmed)
# gpu: NVIDIA GeForce RTX 2080 Ti
# pinned: numactl --physcpubind=4-7,20-23 --membind=1 (CORRECTED from brief's --membind=0: die/node 0 has 0 MB local DRAM per docs/m0-2080ti-bringup.md and numactl --hardware; GPU0's die is node 1 with 62 GiB local DRAM; cgroup cpuset.mems also restricts to 1,3. Literal --membind=0 fails with 'node argument 0 is out of range', exit 1, no rows.)
# binary: standalone nvcc sm_75 (bench/rtrack/README.md R7 recipe), rebuilt from HEAD 843a567
machine,gpu,method,transform,N,r,threads,chunk_req_mib,n_chunks,layers,gemm_batch,repeats,measured_C,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,load_only_ms,compute_only_ms,delta_ms,exposed_load_ms,verified,post_freeze
epyc7351-2080ti,2080ti,a_prefold,blocked_transpose,8192,1,8,64,4,16,1024,2,1.05714,387.036,385.097,388.215,0.370248,0,328.496,347.266,39.7697,39.7697,1,1
epyc7351-2080ti,2080ti,a_prefold,blocked_transpose,8192,1,8,64,4,16,1024,3,1.63875,573.235,569.361,574.27,0.23113,0,328.496,538.323,34.912,34.912,1,1
epyc7351-2080ti,2080ti,a_prefold,blocked_transpose,8192,1,8,64,4,16,1024,7,3.9361,1319.84,1314.29,1323.1,0.360535,0,328.496,1292.99,26.8517,26.8517,1,1
epyc7351-2080ti,2080ti,a_prefold,blocked_transpose,8192,1,8,64,4,16,1024,13,7.36579,2443.51,2439.89,2445.03,0.0818699,0,328.496,2419.63,23.8846,23.8846,1,1
epyc7351-2080ti,2080ti,a_serial_load_only,blocked_transpose,8192,1,8,16,16,16,1024,0,0,517.996,512.731,522.56,0.905402,0,517.996,0,0,0,1,1
epyc7351-2080ti,2080ti,a_serial,blocked_transpose,8192,1,8,16,16,16,1024,2,0.670403,837.963,836.083,840.085,0.208402,0,517.996,347.266,319.966,490.697,1,1
epyc7351-2080ti,2080ti,a_serial,blocked_transpose,8192,1,8,16,16,16,1024,3,1.03924,1011.03,1008.93,1013.44,0.122571,0,517.996,538.323,472.706,472.706,1,1
epyc7351-2080ti,2080ti,a_serial,blocked_transpose,8192,1,8,16,16,16,1024,7,2.49614,1762.16,1754.04,1767.28,0.303976,0,517.996,1292.99,469.17,469.17,1,1
epyc7351-2080ti,2080ti,a_serial,blocked_transpose,8192,1,8,16,16,16,1024,13,4.67113,2895.69,2891.64,2909.25,0.0821618,0,517.996,2419.63,476.064,476.064,1,1
epyc7351-2080ti,2080ti,a_serial_load_only,blocked_transpose,8192,1,8,64,4,16,1024,0,0,497.614,497.067,498.202,0.105678,0,497.614,0,0,0,1,1
epyc7351-2080ti,2080ti,a_serial,blocked_transpose,8192,1,8,64,4,16,1024,2,0.697862,862.285,861.073,863.7,0.125744,0,497.614,347.266,364.671,515.019,1,1
epyc7351-2080ti,2080ti,a_serial,blocked_transpose,8192,1,8,64,4,16,1024,3,1.08181,1035.42,1034.22,1037.09,0.0723356,0,497.614,538.323,497.102,497.102,1,1
epyc7351-2080ti,2080ti,a_serial,blocked_transpose,8192,1,8,64,4,16,1024,7,2.59838,1785.32,1778.13,1789.62,0.272492,0,497.614,1292.99,492.326,492.326,1,1
epyc7351-2080ti,2080ti,a_serial,blocked_transpose,8192,1,8,64,4,16,1024,13,4.86246,2914.71,2911.1,2918.59,0.132066,0,497.614,2419.63,495.079,495.079,1,1
epyc7351-2080ti,2080ti,b_serial_load_only,blocked_transpose,8192,1,8,256,1,16,1024,0,0,329.654,329.646,329.661,0.00204387,0,329.654,0,0,0,1,1
epyc7351-2080ti,2080ti,b_serial,blocked_transpose,8192,1,8,256,1,16,1024,2,1.05343,670.7,669.302,672.585,0.203629,0,329.654,347.266,323.434,323.434,1,1
epyc7351-2080ti,2080ti,b_serial,blocked_transpose,8192,1,8,256,1,16,1024,3,1.63299,853.734,852.219,854.477,0.0943853,0,329.654,538.323,315.411,315.411,1,1
epyc7351-2080ti,2080ti,b_serial,blocked_transpose,8192,1,8,256,1,16,1024,7,3.92226,1606.6,1597.89,1617.98,0.757168,0,329.654,1292.99,313.607,313.607,1,1
epyc7351-2080ti,2080ti,b_serial,blocked_transpose,8192,1,8,256,1,16,1024,13,7.3399,2731.21,2727.69,2733.53,0.0811367,0,329.654,2419.63,311.579,311.579,1,1
epyc7351-2080ti,2080ti,b_serial_load_only,blocked_transpose,8192,1,8,16,16,16,1024,0,0,329.996,329.983,330.001,0.00206618,0,329.996,0,0,0,1,1
epyc7351-2080ti,2080ti,b_serial,blocked_transpose,8192,1,8,16,16,16,1024,2,1.05234,670.876,669.671,672.735,0.218687,0,329.996,347.266,323.61,323.61,1,1
epyc7351-2080ti,2080ti,b_serial,blocked_transpose,8192,1,8,16,16,16,1024,3,1.6313,853.726,852.952,854.456,0.0796139,0,329.996,538.323,315.404,315.404,1,1
epyc7351-2080ti,2080ti,b_serial,blocked_transpose,8192,1,8,16,16,16,1024,7,3.91821,1601.77,1598.28,1612.42,0.448632,0,329.996,1292.99,308.777,308.777,1,1
epyc7351-2080ti,2080ti,b_serial,blocked_transpose,8192,1,8,16,16,16,1024,13,7.33231,2730.62,2721.88,2734.22,0.0767645,0,329.996,2419.63,310.991,310.991,1,1
