machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,2048,f32,1,8,4,4194304,4,1.41669,1.41487,1.41794,0.0424687,0,11.8426,1.41067,0,1.29902,0.10072,0,1,rsweep,f32,0.920821
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,2048,f32,1,8,4,4194304,4,1.34688,1.34323,1.34973,0.277482,0,12.4564,1.34149,0,1.298,0.1224,0,1,rsweep,f32,0.968202
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,2048,f32,1,8,16,16777216,1,2.79196,2.77896,2.97793,0.223234,0,6.00911,2.7845,1.47067,1.30088,0,0,1,rsweep,f32,0.46729
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,2048,f32,1,8,16,16777216,1,2.86955,2.85709,2.89273,0.391329,0,5.84663,2.86152,1.46631,1.30278,0.079008,0,1,rsweep,f32,0.455352
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,2048,f32,1,8,16,16777216,1,1.37764,1.37653,1.38205,0.100515,0,12.1782,1.37198,0,1.28835,0.078992,0,1,rsweep,f32,0.939063
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,2048,f32,1,8,16,16777216,1,1.37762,1.3762,1.37882,0.101581,0,12.1784,1.37248,0,1.28714,0.07424,0,1,rsweep,f32,0.937708
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,0.5,8,4,4194304,8,7.55581,7.16461,8.3554,2.94179,0,8.88176,7.54949,6.83538,3.11301,0,0.229808,1,rsweep,f16,0.414395
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,0.5,8,16,16777216,2,11.7588,11.7245,11.7909,0.182397,0,5.70713,11.7506,10.2682,2.8537,0,0.204048,1,rsweep,f16,0.2428
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,0.5,8,64,33554432,1,12.6204,12.5793,12.6897,0.258905,0,5.3175,12.6134,9.81276,2.58546,0,0.199408,1,rsweep,f16,0.204966
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,4,4194304,16,5.92878,5.68171,8.18721,2.68074,0,11.3192,5.92174,5.39284,5.40272,0,0,1,rsweep,f32,0.917987
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,4,4194304,16,6.01694,5.87569,6.09735,1.85765,0,11.1533,6.01021,5.01357,5.39853,0.290896,0,1,rsweep,f32,0.901432
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,4096,f32,1,8,4,4194304,16,5.50897,5.50547,5.51237,0.0437716,0,12.1818,5.50278,0,5.18262,0.289728,0,1,rsweep,f32,0.941786
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,4096,f32,1,8,4,4194304,16,5.24535,5.24276,5.25026,0.0679958,0,12.794,5.2399,0,5.18438,0.413184,0,1,rsweep,f32,0.989417
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,16,16777216,4,8.72334,8.69544,8.7541,0.317546,0,7.69302,8.71587,7.29514,6.18955,0,0,1,rsweep,f32,0.71036
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,16,16777216,4,8.94178,8.91744,9.02937,0.363608,0,7.50509,8.93507,7.21863,6.20734,0.29136,0,1,rsweep,f32,0.695508
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,4096,f32,1,8,16,16777216,4,5.4536,5.4502,5.45704,0.036102,0,12.3054,5.44768,0,5.14605,0.290928,0,1,rsweep,f32,0.944713
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,4096,f32,1,8,16,16777216,4,5.24286,5.23557,5.2482,0.0567163,0,12.8,5.23762,0,5.14619,0.31512,0,1,rsweep,f32,0.982603
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,64,67108864,1,11.0734,11.0604,11.0955,0.0880588,0,6.06038,11.0656,5.90152,5.14942,0,0,1,rsweep,f32,0.465392
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,64,67108864,1,9.50058,9.48777,9.52709,0.103484,0,7.06366,9.4935,4.03851,5.15141,0.29088,0,1,rsweep,f32,0.542629
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,4096,f32,1,8,64,67108864,1,5.43765,5.4339,5.44035,0.0508108,0,12.3415,5.43147,0,5.13677,0.289984,0,1,rsweep,f32,0.945719
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,blocked_transpose,4096,f32,1,8,64,67108864,1,5.43732,5.43101,5.44145,0.0538438,0,12.3423,5.43173,0,5.13573,0.285824,0,1,rsweep,f32,0.945551
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,2048,f32,0.5,8,4,4194304,2,5.88974,5.03996,6.28079,7.68459,1,2.84855,5.88333,5.45241,0.678384,0,0.056448,1,rsweep,f16,0.115371
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,2048,f32,0.5,8,16,8388608,1,5.71712,5.59145,6.67373,3.12135,0,2.93456,5.71082,4.97649,0.662128,0,0.054624,1,rsweep,f16,0.116011
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,4096,f32,0.25,8,4,4194304,4,26.5006,26.2746,27.7852,0.446643,0,2.53236,26.4926,25.8881,1.36038,0,0.23768,1,rsweep,s8,0.0512952
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,4096,f32,0.25,8,16,16777216,1,27.2139,27.008,29.4174,0.43525,0,2.46598,27.2064,25.6724,1.30726,0,0.204272,1,rsweep,s8,0.0480472
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,2048,f32,1,8,4,4194304,4,1.68676,1.6045,1.74479,4.37495,0,9.94643,1.6803,1.29925,1.3936,0,0,1,rsweep,f32,0.828672
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,2048,f32,1,8,4,4194304,4,1.7168,1.62716,1.78155,3.06721,0,9.77238,1.71059,1.34241,1.4072,0.00176,0,1,rsweep,f32,0.829778
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,quant,2048,f32,1,8,4,4194304,4,1.31515,1.31479,1.31713,0.0226879,0,12.7568,1.3091,0,1.29664,0.001792,0,1,rsweep,f32,0.990493
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,quant,2048,f32,1,8,4,4194304,4,1.31196,1.3115,1.31221,0.023888,0,12.7879,1.30563,0,1.29672,0,0,1,rsweep,f32,0.993187
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,2048,f32,1,8,16,16777216,1,2.78915,2.77702,2.91809,0.344744,0,6.01517,2.78117,1.46792,1.30094,0,0,1,rsweep,f32,0.467776
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,2048,f32,1,8,16,16777216,1,2.79676,2.78302,2.82168,0.311066,0,5.9988,2.78976,1.47189,1.30152,0.001568,0,1,rsweep,f32,0.46648
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,quant,2048,f32,1,8,16,16777216,1,1.29831,1.29802,1.29969,0.0211734,0,12.9223,1.29274,0,1.28645,0.001568,0,1,rsweep,f32,0.995172
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_pipelined,quant,2048,f32,1,8,16,16777216,1,1.29543,1.29482,1.29615,0.0218003,0,12.9511,1.28944,0,1.28629,0,0,1,rsweep,f32,0.997568
