# config.machine: epyc7351-2080ti
# config.bin: bench-rtrack
# config.transforms: all
# config.methods: both
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: r1_gen3_nsweep.csv
# calibration.timestamp: 2026-07-20T15:27:08+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 44.39
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,verified
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,2048,f16,0.5,8,16,8388608,1,1.58042,1.54819,1.60438,1.3815,0,10.6157,1.57376,0.907079,0.656672,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,convert_f16,2048,f16,0.5,8,16,16777216,1,2.84942,2.82576,2.86723,0.482412,0,5.88794,2.84226,1.4734,1.30205,0.052752,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,4096,f32,1,8,4,4194304,16,166.848,160.536,176.761,2.7169,0,0.402216,166.842,166.133,5.33014,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,4096,f32,1,8,4,4194304,16,6.86457,5.81205,7.18326,7.2671,1,9.77613,6.85758,6.0007,5.52994,0.29248,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,4096,f32,1,8,16,16777216,4,103.429,102.74,107.735,1.11791,0,0.648839,103.416,102.006,5.19064,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,4096,f32,1,8,16,16777216,4,8.99589,8.96429,9.22452,0.465928,0,7.45995,8.9887,7.27272,6.26246,0.289312,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,4096,f32,1,8,64,67108864,1,107.803,106.686,108.615,0.643904,0,0.622516,107.796,102.622,5.15251,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,4096,f32,1,8,64,67108864,1,9.51058,9.48411,9.59695,0.312504,0,7.05623,9.50277,4.0356,5.15238,0.29544,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,4,4194304,16,6.74321,5.45707,7.42428,9.85829,1,9.95207,6.73658,6.2009,5.51339,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,4,4194304,16,6.8697,6.52266,7.20822,5.13511,1,9.76883,6.86285,6.016,5.55333,0.287104,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,16,16777216,4,8.7552,8.71504,8.95649,0.572467,0,7.66503,8.7479,7.31993,6.21499,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,16,16777216,4,9.14771,9.02704,9.3841,1.49301,0,7.33614,9.14139,7.42163,6.47283,0.285824,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,64,67108864,1,11.1005,11.0741,11.3221,0.47868,0,6.04559,11.0929,5.92903,5.15027,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,64,67108864,1,9.48933,9.46953,9.54285,0.19718,0,7.07203,9.48218,4.03085,5.15106,0.28608,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,4096,s8,0.25,8,4,4194304,4,135.588,135.148,136.383,0.228402,0,0.494948,135.581,135.15,1.34309,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,4096,s8,0.25,8,4,4194304,16,7.11335,6.89758,7.37466,2.94708,0,9.43421,7.10608,6.05829,5.52933,0.50672,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,4096,s8,0.25,8,16,16777216,1,137.277,136.8,137.526,0.196732,0,0.488859,137.27,135.944,1.30346,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,4096,s8,0.25,8,16,16777216,4,9.21376,9.17142,9.49986,1.25577,0,7.28355,9.20637,7.28665,6.29666,0.500704,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,4096,s8,0.25,8,64,67108864,1,9.67317,9.65356,9.70534,0.11452,0,6.93763,9.66578,4.04003,5.15195,0.456784,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,4096,s8,0.25,8,4,4194304,4,3.74805,3.72321,3.79177,0.486907,0,17.905,3.74139,3.32426,1.43019,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,4096,s8,0.25,8,4,4194304,16,6.53971,6.2366,7.18291,3.9383,0,10.2617,6.53198,5.81418,5.47821,0.174608,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,4096,s8,0.25,8,16,16777216,1,4.31954,4.27365,4.41604,0.595978,0,15.5361,4.31254,2.99919,1.30126,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,4096,s8,0.25,8,16,16777216,4,8.93628,8.83918,9.25275,1.27296,0,7.50971,8.92906,7.33,6.3304,0.176256,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,4096,s8,0.25,8,64,67108864,1,9.38591,9.36307,9.44222,0.231323,0,7.14996,9.37952,4.03644,5.15206,0.174368,1
