# config.machine: 7800x3d-4070tis
# config.bin: ./bench-rtrack
# config.numactl: 
# config.transforms: matrix
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: bench/results/bp_matrix_nsweep_7800x3d-4070tis.csv
# calibration.timestamp: 2026-08-11T22:08:14+0900
# calibration.hostname: JueonAtHome
# calibration.kernel: Linux JueonAtHome 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64
# calibration.cpu_model: AMD Ryzen 7 7800X3D 8-Core Processor
# calibration.governors: 
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: nvcc: NVIDIA (R) Cuda compiler driver Copyright (c) 2005-2026 NVIDIA Corporation Built on Thu_Mar_19_11:12:51_PM_PDT_2026 Cuda compilation tools, release 13.2, V13.2.78 Build cuda_13.2.r13.2/compiler.37668154_0
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 4070 Ti SUPER', 'driver': '595.79', 'pcie_gen_current_idle': '4', 'pcie_gen_max': '4', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '2610 MHz', 'clocks_mem': '10251 MHz'}
# calibration.pcie_under_load.gen: 4
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 39.87
# calibration.nvbandwidth: None
# calibration.notes: cpufreq governors unreadable; nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,gpu_recv_ms,verified,variant,wire,h2d_occupancy
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,2048,s8,0.25,8,4,4194304,4,0.723186,0.69277,0.77587,5.95566,1,23.199,0.743248,0,0.660752,0.062768,0,1,matrix,s8,0.891317
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,transpose_quant,2048,s8,0.25,8,16,16777216,1,1.36088,1.29175,1.40577,3.53337,0,12.3282,1.42797,0.620751,0.670912,0.07632,0,1,matrix,s8,0.467
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,transpose_quant,2048,s8,0.25,8,16,16777216,1,0.731046,0.690046,0.849333,5.47804,1,22.9496,0.737248,0,0.655232,0.071648,0,1,matrix,s8,0.889453
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,quant,2048,s8,0.25,8,4,4194304,1,0.327747,0.3108,0.359021,6.15688,1,51.1895,0.319216,0.125239,0.161616,0,0,1,matrix,s8,0.505233
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,2048,s8,0.25,8,4,4194304,4,1.06596,1.00974,1.22267,7.95826,1,15.739,1.09354,0.701273,0.682384,0.053552,0,1,matrix,s8,0.634339
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,2048,s8,0.25,8,4,4194304,4,0.744625,0.705451,0.797596,2.93755,0,22.5311,0.73824,0,0.671936,0.05592,0,1,matrix,s8,0.911989
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,quant,2048,s8,0.25,8,4,4194304,4,0.683956,0.663498,0.71076,3.07717,0,24.5297,0.697136,0,0.642464,0.05288,0,1,matrix,s8,0.926294
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,quant,2048,s8,0.25,8,16,16777216,1,1.35628,1.28384,1.41376,2.94322,0,12.37,1.40894,0.622853,0.661664,0.062688,0,1,matrix,s8,0.468384
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,quant,2048,s8,0.25,8,16,16777216,1,0.71117,0.678939,0.742484,2.37324,0,23.591,0.720768,0,0.656144,0.060128,0,1,matrix,s8,0.90505
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,quant,2048,s8,0.25,8,16,16777216,1,0.716613,0.665952,0.756073,3.62389,0,23.4118,0.734928,0,0.652448,0.019456,0,1,matrix,s8,0.895028
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,1,2.13857,1.93975,2.35016,7.24944,1,7.84508,2.28112,1.93942,0.161776,0,0,1,matrix,s8,0.071943
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,4,1.13157,1.05473,1.24078,6.95326,1,14.8264,1.18117,0.700092,0.717584,0.116608,0,1,matrix,s8,0.611856
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,4,0.75349,0.73237,0.784046,2.27475,0,22.266,0.77864,0,0.660352,0.101168,0,1,matrix,s8,0.851286
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,nchw_nhwc_quant,2048,s8,0.25,8,4,4194304,4,0.730485,0.699309,0.744274,1.71855,0,22.9672,0.757104,0,0.658768,0.119184,0,1,matrix,s8,0.871095
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b,nchw_nhwc_quant,2048,s8,0.25,8,16,16777216,1,1.39285,1.33015,1.50229,3.99634,0,12.0453,1.46467,0.613228,0.664128,0.114608,0,1,matrix,s8,0.452554
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_fair,nchw_nhwc_quant,2048,s8,0.25,8,16,16777216,1,0.7455,0.728637,0.765147,2.00047,0,22.5046,0.764928,0,0.651456,0.1084,0,1,matrix,s8,0.850218
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,b_pipelined,nchw_nhwc_quant,2048,s8,0.25,8,16,16777216,1,0.74894,0.715798,0.799511,4.56829,0,22.4013,0.766448,0,0.63152,0.0724,0,1,matrix,s8,0.829746
7800x3d-4070tis,NVIDIA GeForce RTX 4070 Ti SUPER,a,convert_f16,2048,f16,0.5,8,4,4194304,2,0.51662,0.47035,0.583277,8.23289,1,32.475,0.517696,0.298387,0.324208,0,0,1,matrix,f16,0.626783
